names,scores,logfoldchanges,pvals,pvals_adj,significant
CG4593,6.991594,1.4974998,2.7178063531421255e-12,2.8322516484251125e-11,True
ND-MNLL,6.864291,3.3253837,6.682222628677388e-12,6.817631022006953e-11,True
PRAS40,6.632986,1.0876987,3.2896251795122735e-11,3.233280814059146e-10,True
Nf-YB,6.56559,1.1977806,5.18272574539628e-11,5.059895915323366e-10,True
Yp3,6.4936366,3.3666782,8.37886460814298e-11,8.084189413774369e-10,True
lncRNA:CR42491,6.3767266,3.4590929,1.8091311432518913e-10,1.7042145056253121e-09,True
Hr78,6.299608,1.3293841,2.9839863198822546e-10,2.7929176801689962e-09,True
Lipt2,6.2263184,1.141982,4.775229101497073e-10,4.425337491027718e-09,True
HSPC300,6.2212954,1.3307703,4.930665599296685e-10,4.5565314093078575e-09,True
CG6083,6.1977086,1.6394287,5.729105192498765e-10,5.27953515670591e-09,True
lncRNA:CR45668,6.1346664,1.9505101,8.533814537007504e-10,7.798529682254215e-09,True
CG14645,6.131511,2.4606037,8.704810120365082e-10,7.9492640577983e-09,True
Dph3,6.045111,2.612514,1.4930703495809691e-09,1.3392790077708884e-08,True
rg,6.0265226,1.2932094,1.6752491817286795e-09,1.4945315340866652e-08,True
ogre,6.0138316,1.1281112,1.8118886519049688e-09,1.6109627046470362e-08,True
Polr2G,5.9790545,1.6242377,2.244362731892486e-09,1.9860720983029737e-08,True
CG1463,5.9781027,1.0110005,2.2575126778454976e-09,1.9950217955324604e-08,True
Ac78C,5.783689,1.0023464,7.307990813581118e-09,6.231947260303016e-08,True
Yp1,5.590549,6.3189154,2.2635299303675956e-08,1.8802178770518694e-07,True
Patsas,5.5757446,1.2666848,2.4647354152556126e-08,2.0434755893926817e-07,True
CG6665,5.367082,1.053187,8.002058339977268e-08,6.33845983397476e-07,True
CG31687,5.343355,2.3918872,9.124161532839337e-08,7.179677048086331e-07,True
CG33941,5.1783566,1.4116102,2.2384919807617006e-07,1.7162207187391779e-06,True
CG4676,5.0423765,1.9288433,4.5978544681758814e-07,3.432977588994276e-06,True
CG18324,4.8684707,1.5069339,1.1246522309309709e-06,8.156211350256008e-06,True
asRNA:CR43425,4.81497,1.1258051,1.4722210523385195e-06,1.057761446078758e-05,True
kat-60L1,4.6322536,1.411874,3.6170643918727816e-06,2.5149123372275252e-05,True
CG42855,4.500908,1.2421958,6.7663762976631235e-06,4.6166641187742005e-05,True
hoe1,4.4866486,1.0750449,7.2352247734493795e-06,4.918680224930072e-05,True
Polr1D,4.486453,1.0306618,7.241870722450451e-06,4.920652697193453e-05,True
CG1951,4.484106,1.0233225,7.322025744228759e-06,4.972544718600006e-05,True
asRNA:CR44029,4.4770193,1.0235728,7.569243957795912e-06,5.129831606467049e-05,True
CAH8,4.4374003,1.3277477,9.105183254311758e-06,6.12653421120895e-05,True
M6,4.3357806,1.1239905,1.452436697269926e-05,9.581561565674747e-05,True
disco-r,4.3315735,1.0447031,1.4804754305222415e-05,9.761629519564865e-05,True
Papss,4.3284373,1.1589236,1.501709240183379e-05,9.896670574347934e-05,True
CG14971,4.3228207,1.4161679,1.540468282628776e-05,0.00010141930712437248,True
Lint-1,4.31942,1.0274853,1.564398300608684e-05,0.00010289168202351712,True
Tmem63,4.2437515,1.1119825,2.198138211127258e-05,0.00014264560114776937,True
CG31249,4.206619,1.2085423,2.5921986810080076e-05,0.00016665402576871932,True
CG6356,4.1539145,1.1903853,3.268355456264554e-05,0.00020798769516112593,True
lncRNA:CR43264,4.135616,2.4922848,3.540039441207622e-05,0.00022429922033225343,True
prage,4.1197634,1.0431288,3.792617957082672e-05,0.00023949443812601345,True
Pldn,4.017516,1.0798526,5.881476561291932e-05,0.00036439643324817194,True
cnir,3.838776,1.0522678,0.00012364907256071984,0.0007422898412610413,True
MEP-1,3.765135,1.1173046,0.00016645904257076436,0.000982676674942684,True
Mppe,3.755695,1.0206954,0.00017286095916513685,0.0010181828168485268,True
Trf,3.731681,2.294728,0.00019020624786450973,0.0011153504253402597,True
lncRNA:CR45358,3.64068,1.2503155,0.00027191876392333513,0.001566542953404887,True
zyd,3.5939374,1.5278225,0.0003257181123579178,0.0018569465138808666,True
Mis12,3.4468355,1.0582284,0.0005671938364581251,0.0031356727828759875,True
CG3740,3.4024017,1.512344,0.0006679636239774962,0.0036634849677330042,True
CG2540,3.3415864,1.8525213,0.0008330109017560635,0.004504772123447091,True
Yp2,3.3406484,3.7628384,0.0008358297794438497,0.00451815677979088,True
pre-rRNA:CR45845,3.2496727,3.414838,0.0011553788709905996,0.006124579969216406,True
