Dmel_CG14628 CG14628 Gene Expression
Dmel_CG32859 eIF4E7 Gene Expression
Dmel_CG11378 CG11378 Gene Expression
Dmel_CG11384 CG11384 Gene Expression
Dmel_CG11379 CG11379 Gene Expression
Dmel_CG14627 CG14627 Gene Expression
Dmel_CG14626 CG14626 Gene Expression
Dmel_CG11380 CG11380 Gene Expression
Dmel_CG14625 CG14625 Gene Expression
Dmel_CG11381 CG11381 Gene Expression
Dmel_CG14624 CG14624 Gene Expression
Dmel_CG11382 CG11382 Gene Expression
Dmel_CG11398 CG11398 Gene Expression
Dmel_CG3638 Motor Gene Expression
Dmel_CG11403 CG11403 Gene Expression
Dmel_CG11405 Atf3 Gene Expression
Dmel_CG32812 CG32812 Gene Expression
Dmel_CG14622 DAAM Gene Expression
Dmel_CG32811 CG32811 Gene Expression
Dmel_CR46248 lncRNA:CR46248 Gene Expression
Dmel_CG11411 fs(1)N Gene Expression
Dmel_CG11409 CG11409 Gene Expression
Dmel_CG11412 Naa30A Gene Expression
Dmel_CG11418 MTPAP Gene Expression
Dmel_CG11415 Tsp2A Gene Expression
Dmel_CG12773 CG12773 Gene Expression
Dmel_CG11417 CG11417 Gene Expression
Dmel_CG11420 png Gene Expression
Dmel_CG14770 CG14770 Gene Expression
Dmel_CG3056 ssx Gene Expression
Dmel_CR43537 mir-4961 Gene Expression
Dmel_CG3051 AMPKalpha Gene Expression
Dmel_CG3719 CG3719 Gene Expression
Dmel_CG32813 CG32813 Gene Expression
Dmel_CG11448 Rilpl Gene Expression
Dmel_CG34387 futsch Gene Expression
Dmel_CG18531 Gr2a Gene Expression
Dmel_CG14785 CG14785 Gene Expression
Dmel_CG14786 Lrpprc2 Gene Expression
Dmel_CG14787 CG14787 Gene Expression
Dmel_CG14788 Ns3 Gene Expression
Dmel_CG14789 O-fut2 Gene Expression
Dmel_CG14777 CG14777 Gene Expression
Dmel_CG14778 CG14778 Gene Expression
Dmel_CG32808 CG32808 Gene Expression
Dmel_CG14779 pck Gene Expression
Dmel_CG14780 CG14780 Gene Expression
Dmel_CG14791 Rab27 Gene Expression
Dmel_CG14781 mei-38 Gene Expression
Dmel_CG14782 rush Gene Expression
Dmel_CG14792 sta Gene Expression
Dmel_CR32807 snoRNA:M Gene Expression
Dmel_CR34671 snoRNA:CD44 Gene Expression
Dmel_CG32810 inc Gene Expression
Dmel_CG33513 Nmdar2 Gene Expression
Dmel_CG14795 CG14795 Gene Expression
Dmel_CG14796 Mur2B Gene Expression
Dmel_CR33699 sncRNA:400 Gene Expression
Dmel_CG11491 br Gene Expression
Dmel_CG3093 dor Gene Expression
Dmel_CG3740 CG3740 Gene Expression
Dmel_CG3095 hfw Gene Expression
Dmel_CG32809 CG32809 Gene Expression
Dmel_CG14797 CG14797 Gene Expression
Dmel_CG3100 b6 Gene Expression
Dmel_CG14798 Dmel_CG14798 Gene Expression
Dmel_CG3771 a6 Gene Expression
Dmel_CG3795 CG3795 Gene Expression
Dmel_CG14808 Scgdelta Gene Expression
Dmel_CG42666 prage Gene Expression
Dmel_CG12598 Adar Gene Expression
Dmel_CR42885 mir-981 Gene Expression
Dmel_CG32806 CG32806 Gene Expression
Dmel_CG14810 CG14810 Gene Expression
Dmel_CG14811 CG14811 Gene Expression
Dmel_CG14812 Lamtor5 Gene Expression
Dmel_CG14813 deltaCOP Gene Expression
Dmel_CG14814 Gcna Gene Expression
Dmel_CG14802 MED18 Gene Expression
Dmel_CG14815 Pex5 Gene Expression
Dmel_CG14803 CG14803 Gene Expression
Dmel_CG14816 Pgam5 Gene Expression
Dmel_CG14804 Vps26 Gene Expression
Dmel_CG14817 CG14817 Gene Expression
Dmel_CG14805 CG14805 Gene Expression
Dmel_CG14818 CG14818 Gene Expression
Dmel_CG14806 Coa8 Gene Expression
Dmel_CG3848 trr Gene Expression
Dmel_CG3109 mRpL16 Gene Expression
Dmel_CG11579 arm Gene Expression
Dmel_CG32803 Ldaf1 Gene Expression
Dmel_CR45929 asRNA:CR45929 Gene Expression
Dmel_CR43864 asRNA:CR43864 Gene Expression
Dmel_CG32801 CG32801 Gene Expression
Dmel_CG3810 Edem1 Gene Expression
Dmel_CG3480 mip130 Gene Expression
Dmel_CG17766 Rbcn-3B Gene Expression
Dmel_CG3806 eIF2Bepsilon Gene Expression
Dmel_CG3573 Ocrl Gene Expression
Dmel_CG11596 unmet Gene Expression
Dmel_CG3857 CG3857 Gene Expression
Dmel_CG3587 CG3587 Gene Expression
Dmel_CG43934 Hr4 Gene Expression
Dmel_CG4406 PIG-K Gene Expression
Dmel_CR45478 lncRNA:CR45478 Gene Expression
Dmel_CR43004 mir-2496 Gene Expression
Dmel_CG4399 east Gene Expression
Dmel_CG4376 Actn Gene Expression
Dmel_CR43527 mir-4954 Gene Expression
Dmel_CG4380 usp Gene Expression
Dmel_CG4313 CG4313 Gene Expression
Dmel_CG4325 CG4325 Gene Expression
Dmel_CG4322 moody Gene Expression
Dmel_CG4290 Sik2 Gene Expression
Dmel_CR44896 asRNA:CR44896 Gene Expression
Dmel_CG4281 CG4281 Gene Expression
Dmel_CG14054 CG14054 Gene Expression
Dmel_CR44381 asRNA:CR44381 Gene Expression
Dmel_CG4199 CG4199 Gene Expression
Dmel_CG4194 CG4194 Gene Expression
Dmel_CR44382 asRNA:CR44382 Gene Expression
Dmel_CG4061 Rtca Gene Expression
Dmel_CG4045 Mettl1 Gene Expression
Dmel_CG4025 CG4025 Gene Expression
Dmel_CG16903 CG16903 Gene Expression
Dmel_CG3981 Unc-76 Gene Expression
Dmel_CG3954 csw Gene Expression
Dmel_CR34672 Dmel_CR34672 Gene Expression
Dmel_CG3895 ph-d Gene Expression
Dmel_CG18412 ph-p Gene Expression
Dmel_CG3835 D2hgdh Gene Expression
Dmel_CG3724 Pgd Gene Expression
Dmel_CG3717 bcn92 Gene Expression
Dmel_CG3707 wapl Gene Expression
Dmel_CG3656 Cyp4d1 Gene Expression
Dmel_CG3630 CG3630 Gene Expression
Dmel_CR43520 mir-3641 Gene Expression
Dmel_CG3621 ND-B14.5A Gene Expression
Dmel_CG3540 Cyp4d14 Gene Expression
Dmel_CR45479 asRNA:CR45479 Gene Expression
Dmel_CR44690 asRNA:CR44690 Gene Expression
Dmel_CG3466 Cyp4d2 Gene Expression
Dmel_CG10755 Cyp4ae1 Gene Expression
Dmel_CG3461 pn Gene Expression
Dmel_CG3460 Nmd3 Gene Expression
Dmel_CG17776 CG17776 Gene Expression
Dmel_CG17777 CG17777 Gene Expression
Dmel_CG3457 CG3457 Gene Expression
Dmel_CG3456 Mct1 Gene Expression
Dmel_CG14053 CG14053 Gene Expression
Dmel_CR43637 asRNA:CR43637 Gene Expression
Dmel_CG18031 FarO Gene Expression
Dmel_CG33548 SmydA-8 Gene Expression
Dmel_CG3299 Vinc Gene Expression
Dmel_CG14052 CG14052 Gene Expression
Dmel_CG3443 pcx Gene Expression
Dmel_CG3228 kz Gene Expression
Dmel_CG3218 fs(1)K10 Gene Expression
Dmel_CG3206 Or2a Gene Expression
