Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,negative gravitaxis (GO:0048060),1/7,0.0513409341930918,0.2464024778456183,0.0739629548245583,0.3570145462927209,-4.1152434454448885,12.219256178870358,Clic
GO_Biological_Process_2018,negative regulation of mRNA processing (GO:0050686),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-3.91511380076192,12.214012361770328,Sxl
GO_Biological_Process_2018,copulation (GO:0007620),1/7,0.0513409341930918,0.2464024778456183,0.0739629548245583,0.3570145462927209,-4.10658384628432,12.193543517650657,fru
GO_Biological_Process_2018,positive regulation of gliogenesis (GO:0014015),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-3.831682448208454,11.953730892749189,yki
GO_Biological_Process_2018,protein N-linked glycosylation via asparagine (GO:0018279),1/7,0.0513409341930918,0.2464024778456183,0.0739629548245583,0.3570145462927209,-4.015206767336967,11.922220581028167,FucT6
GO_Biological_Process_2018,exocyst localization (GO:0051601),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-3.802403757616029,11.862389923614971,Cdc42
GO_Biological_Process_2018,phototaxis (GO:0042331),2/21,0.0106871467810509,0.1630553251737481,0.0200224555342641,0.3563997085099013,-2.6093273130871784,11.84298908875906,M6;cdm
GO_Biological_Process_2018,'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207),1/9,0.0655227562810445,0.2464024778456183,0.0915936195544995,0.3570145462927209,-4.2290281642030845,11.525614777604137,CRMP
GO_Biological_Process_2018,actin filament polymerization (GO:0030041),1/8,0.0584583682884511,0.2464024778456183,0.0828200924317979,0.3570145462927209,-4.043635021158196,11.481660768410393,Cdc42
GO_Biological_Process_2018,peptidyl-L-cysteine S-palmitoylation (GO:0018230),2/21,0.0106871467810509,0.1630553251737481,0.0200224555342641,0.3563997085099013,-2.5156316771142704,11.417731441346998,CG4676;Patsas
GO_Biological_Process_2018,regulation of cytokinetic process (GO:0032954),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-3.592769909317953,11.208393502346228,flw
GO_Biological_Process_2018,plasma membrane bounded cell projection organization (GO:0120036),2/23,0.0127501821155555,0.1791736118343861,0.0234527731540825,0.3570145462927209,-2.567189279369808,11.198618037576075,M6;Cdc42
GO_Biological_Process_2018,positive regulation of cell development (GO:0010720),1/7,0.0513409341930918,0.2464024778456183,0.0739629548245583,0.3570145462927209,-3.770169487765546,11.194639495692648,Myc
GO_Biological_Process_2018,stem cell fate commitment (GO:0048865),1/9,0.0655227562810445,0.2464024778456183,0.0915936195544995,0.3570145462927209,-4.027022076714922,10.975075916967748,Sara
GO_Biological_Process_2018,negative regulation of cell-cell adhesion (GO:0022408),1/7,0.0513409341930918,0.2464024778456183,0.0739629548245583,0.3570145462927209,-3.6892514299917134,10.954372184525544,disco-r
GO_Biological_Process_2018,regulation of retinal cell programmed cell death (GO:0046668),1/8,0.0584583682884511,0.2464024778456183,0.0828200924317979,0.3570145462927209,-3.8340580530404695,10.886579451672148,hid
GO_Biological_Process_2018,positive regulation of endopeptidase activity (GO:0010950),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-3.461439372500523,10.798680558662737,hid
GO_Biological_Process_2018,secretory granule organization (GO:0033363),1/7,0.0513409341930918,0.2464024778456183,0.0739629548245583,0.3570145462927209,-3.6347065759660464,10.792413954492652,Arl1
GO_Biological_Process_2018,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-3.389600405599765,10.57456394943112,pcs
GO_Biological_Process_2018,rRNA 5'-end processing (GO:0000967),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-3.3604807304277995,10.48371906199722,CG6999
GO_Biological_Process_2018,peptidyl-asparagine modification (GO:0018196),1/7,0.0513409341930918,0.2464024778456183,0.0739629548245583,0.3570145462927209,-3.527378384994198,10.473727908797985,FucT6
