names,scores,logfoldchanges,pvals,pvals_adj,significant
ppk5,0.27365932,1.1157128,0.7843464483810567,1.0,False
CG3328,0.27359256,0.5100582,0.7843977514897524,1.0,False
Lgr3,0.2735857,0.46560788,0.7844030134000346,1.0,False
Mipp2,0.27353436,0.8389782,0.7844424780412902,1.0,False
CG34279,0.27351382,0.70074874,0.7844582640530007,1.0,False
GstT3,0.27349672,0.72939336,0.7844714191305022,1.0,False
C15,0.2734813,0.67224324,0.784483258752905,1.0,False
CG31627,0.27345905,0.66818124,0.7845003605177641,1.0,False
superdeath,0.27334437,0.49109182,0.7845885020327834,1.0,False
S-Lap1,0.27329817,0.47472715,0.7846240225289062,1.0,False
rumi,0.27324852,0.43154365,0.7846621746725861,1.0,False
meep,0.2732143,0.4332064,0.7846884867973103,1.0,False
Muc12Ea,0.27303457,0.33354077,0.7848266294888118,1.0,False
lncRNA:CR46117,0.2730209,0.35680673,0.7848371549242206,1.0,False
esc,0.27297983,0.3400298,0.7848687314665281,1.0,False
Top3beta,0.27295414,-0.21804781,0.7848884669852816,1.0,False
pdm2,0.27285317,0.29570302,0.7849660947007667,1.0,False
trem,0.27270254,-0.1457302,0.7850818823861325,1.0,False
Jheh2,0.2726837,0.28672913,0.7850963561812581,1.0,False
lncRNA:CR44050,0.27217025,0.12929997,0.7854911246805776,1.0,False
CG4287,0.27160883,-0.15988135,0.7859228013746862,1.0,False
JhI-21,0.27150786,0.14121659,0.7860004575251911,1.0,False
Acat1,0.2714993,0.06915103,0.7860070386527707,1.0,False
CG17652,0.2714993,-0.24075429,0.7860070386527707,1.0,False
PIG-C,0.2713521,0.044554852,0.7861202364401121,1.0,False
puc,0.2712494,-0.14069985,0.7861992143183607,1.0,False
beta4GalNAcTB,0.27113473,-0.14617483,0.7862874088823775,1.0,False
DPCoAC,0.27072394,0.09713017,0.7866033522059391,1.0,False
CG1227,0.27036452,0.07577812,0.786879831439307,1.0,False
CG9004,0.27032346,-0.11925064,0.7869114307774353,1.0,False
CG3156,0.27016768,-0.21301013,0.7870312481216534,1.0,False
CG7069,0.2698716,-0.051465727,0.7872590466447892,1.0,False
Ercc1,0.26946422,0.06567957,0.787572463953126,1.0,False
Polr1C,0.2677886,-0.18018563,0.7888620502405156,1.0,False
Zip99C,0.26770815,-0.21206225,0.788923975507407,1.0,False
D12,0.26660246,0.000118299155,0.7897752535126652,1.0,False
Dcps,0.26620197,-0.15744944,0.7900836731511638,1.0,False
TAF1B,0.26611125,-0.108157605,0.7901535334504693,1.0,False
CG32537,0.2648618,-0.104889646,0.7911159315662167,1.0,False
Bub3,0.26366368,-0.18568146,0.7920390782666819,1.0,False
CG13255,0.26315707,-0.14649136,0.7924295252566923,1.0,False
RhoGAP18B,0.26188877,0.3278195,0.7934071898898736,1.0,False
CG6254,0.2613582,-0.20269771,0.7938162958287858,1.0,False
asRNA:CR44165,0.26024565,1.7463913,0.7946742826775187,1.0,False
Ret,0.26017377,0.97100836,0.7947297303838359,1.0,False
lncRNA:CR43887,0.2601601,21.276829,0.7947402919692927,1.0,False
btd,0.2601498,0.9980177,0.7947482131830758,1.0,False
lncRNA:CR45939,0.2601327,2.7941658,0.7947614152530746,1.0,False
mei-218,0.26012585,1.6124992,0.794766696097533,1.0,False
CG6236,0.2601173,-0.20649669,0.7947732971663313,1.0,False
HLH4C,0.26011217,0.88493323,0.7947772578146636,1.0,False
NKCC,0.2601053,0.41570014,0.7947825386873353,1.0,False
slif,0.26009503,1.6788843,0.7947904600139754,1.0,False
CG13135,0.2600574,1.2726723,0.7948195050593364,1.0,False
Chsy,0.26003,0.95719135,0.7948406289073373,1.0,False
Rpp25,0.2600009,-0.21486923,0.7948630731606572,1.0,False
CG31098,0.259953,-0.21397609,0.7949000405362607,1.0,False
CG14696,0.259941,0.8374683,0.7949092824521247,1.0,False
Ag5r,0.25987253,0.65656346,0.7949620939520408,1.0,False
SmydA-4,0.25984856,0.74273425,0.7949805781990071,1.0,False
lncRNA:CR45267,0.2598349,0.57103485,0.7949911406775202,1.0,False
Kdm4A,0.25976127,-0.11598594,0.7950479146433239,1.0,False
sens-2,0.25960895,0.3333238,0.7951654269971486,1.0,False
eEF5,0.2595559,-0.035419676,0.795206359357857,1.0,False
CG7509,0.25929573,0.32688,0.7954070681214978,1.0,False
CG13775,0.25928718,0.26209635,0.7954136706135511,1.0,False
lncRNA:CR44813,0.25892603,0.18070471,0.7956923091269035,1.0,False
CycH,0.2586573,0.09798268,0.795899654218807,1.0,False
Rtel1,0.2585375,0.07411006,0.7959921057213212,1.0,False
Rpp21,0.25845194,0.1794057,0.796058144262237,1.0,False
Sac1,0.258416,-0.19155237,0.7960858808850165,1.0,False
CG34376,0.25831842,-0.1475922,0.7961611673025434,1.0,False
CG43800,0.25821745,0.121321045,0.7962390973471347,1.0,False
CG12992,0.25746435,-0.0010705309,0.7968203345968674,1.0,False
CG5068,0.2566411,-0.19699863,0.7974558615324682,1.0,False
Nup93-1,0.25575104,-0.03591494,0.7981430687323694,1.0,False
Ccdc6,0.25549603,-0.10231245,0.7983400088842034,1.0,False
Dus1,0.25486958,-0.12174052,0.7988238223657654,1.0,False
pre-lola-G,0.2546505,0.046315763,0.7989930431367277,1.0,False
Rab26,0.25376734,-0.039627194,0.7996753100339395,1.0,False
BaraC,0.25291154,-0.030365026,0.8003365672614191,1.0,False
CG9578,0.25268734,-0.22377378,0.8005098403372198,1.0,False
Tgt,0.25191712,-0.32708374,0.8011051279270378,1.0,False
l(2)k01209,0.25178874,-0.17365767,0.8012043537648424,1.0,False
CG9016,0.25069162,-0.05154308,0.8020525346094207,1.0,False
Pex14,0.25019014,-0.2181002,0.8024403143739156,1.0,False
CG3437,0.24971431,-0.05254163,0.8028082869179823,1.0,False
Mtap,0.24918714,-0.22122292,0.8032160197831097,1.0,False
lncRNA:CR45825,0.24912211,-0.10652477,0.8032663282013837,1.0,False
CG3071,0.24802841,-0.24963619,0.8041124259180479,1.0,False
MFS14,0.24738143,0.61204857,0.8046130425461014,1.0,False
Naxe,0.24667284,-0.2780583,0.8051614288818113,1.0,False
CG6847,0.2465205,2.652106,0.8052793312258086,1.0,False
CG18335,0.24649312,1.2193712,0.8053005276224312,1.0,False
CG30108,0.24648628,3.1755755,0.805305826743944,1.0,False
fusl,0.2464743,0.59062445,0.8053151002281088,1.0,False
lncRNA:CR46124,0.2464452,3.2656488,0.8053376216608028,1.0,False
asRNA:CR45121,0.2464315,1.9964789,0.805348220037953,1.0,False
CG43329,0.24642295,1.5502007,0.8053548440418323,1.0,False
MFS10,0.24642295,2.202639,0.8053548440418323,1.0,False
CG15047,0.24641952,2.190035,0.8053574936472956,1.0,False
lncRNA:CR44334,0.24641268,1.2133979,0.8053627928649268,1.0,False
wun2,0.24640583,0.36080173,0.8053680920914981,1.0,False
Ugt50B3,0.24637331,1.9229897,0.8053932635397897,1.0,False
CG42578,0.24635278,1.3254102,0.8054091614005177,1.0,False
lncRNA:CR45414,0.24633566,1.1361072,0.805422409679239,1.0,False
Chpf,0.24625179,0.65281475,0.8054873270523311,1.0,False
CG5535,0.24623981,0.8474688,0.8054966010722293,1.0,False
RhoGAP54D,0.24623467,0.76112926,0.8055005756605613,1.0,False
CG5321,0.24610631,0.63415146,0.8055999420018223,1.0,False
Obp85a,0.24603784,0.42865264,0.8056529386675344,1.0,False
Pdha2,0.24600704,0.47997835,0.8056767874583659,1.0,False
lncRNA:CR45430,0.24591461,0.27702892,0.8057483349152925,1.0,False
Trissin,0.24585813,0.3745319,0.8057920591617816,1.0,False
CG15343,0.24582389,0.27086425,0.8058185590006245,1.0,False
CG17030,0.245663,0.34002638,0.8059431112297295,1.0,False
Gbs-70E,0.24561165,0.33381405,0.8059828629775825,1.0,False
CG4730,0.24552779,0.28591087,0.8060477919105087,1.0,False
CG33080,0.24552436,0.18884215,0.8060504420994389,1.0,False
ppk28,0.24542852,0.071515545,0.806124648293705,1.0,False
Adck5,0.2453224,-0.30981192,0.8062068071878282,1.0,False
mRpL45,0.24528988,-0.19434832,0.8062319853416522,1.0,False
aurA,0.24517691,0.14901702,0.8063194478574442,1.0,False
lncRNA:CR44662,0.24501774,0.09923966,0.8064426946046894,1.0,False
Polr1H,0.24469425,0.06727645,0.8066931786083235,1.0,False
Idh,0.24456246,-0.22651152,0.8067952333328193,1.0,False
OXA1L,0.24453679,-0.17567568,0.8068151145061694,1.0,False
sage,0.24449742,0.12333444,0.8068455992143921,1.0,False
lncRNA:CR43900,0.24436906,0.0049502044,0.8069450079097872,1.0,False
PK2-R1,0.24436735,0.10388099,0.8069463333801292,1.0,False
