Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,female germ-line sex determination (GO:0019099),1/6,0.0208196851054437,0.1345056624303814,0.0297069791148805,0.1875494608760724,-3.391414395981631,13.131069332439914,Sxl
GO_Biological_Process_2018,negative regulation of response to biotic stimulus (GO:0002832),1/9,0.0310687101240235,0.1345056624303814,0.0421746877216196,0.1875494608760724,-3.779218768395308,13.119762302880488,Dsp1
GO_Biological_Process_2018,L-alpha-amino acid transmembrane transport (GO:1902475),1/7,0.0242478446556644,0.1345056624303814,0.0338802824299768,0.1875494608760724,-3.4972899283938874,13.007916495063608,mnd
GO_Biological_Process_2018,mitochondrial respiratory chain complex III assembly (GO:0034551),1/6,0.0208196851054437,0.1345056624303814,0.0297069791148805,0.1875494608760724,-3.324613709199762,12.872426669771896,ox
GO_Biological_Process_2018,peripheral nervous system neuron differentiation (GO:0048934),1/9,0.0310687101240235,0.1345056624303814,0.0421746877216196,0.1875494608760724,-3.7059616694087727,12.865446322620356,egh
GO_Biological_Process_2018,negative regulation of compound eye retinal cell programmed cell death (GO:0046673),1/9,0.0310687101240235,0.1345056624303814,0.0421746877216196,0.1875494608760724,-3.7006304218321247,12.846938608388951,ninaE
GO_Biological_Process_2018,"mating behavior, sex discrimination (GO:0048047)",1/10,0.034461496392694,0.1345056624303814,0.0462959305230056,0.1875494608760724,-3.790420009817521,12.765803404272356,fru
GO_Biological_Process_2018,negative regulation of protein tyrosine kinase activity (GO:0061099),1/7,0.0242478446556644,0.1345056624303814,0.0338802824299768,0.1875494608760724,-3.40102736264881,12.649874856408962,pcs
GO_Biological_Process_2018,cardioblast cell fate commitment (GO:0042684),1/8,0.0276641729154105,0.1345056624303814,0.0380361617813779,0.1875494608760724,-3.498069403677907,12.549733607885484,robo2
GO_Biological_Process_2018,Malpighian tubule tip cell differentiation (GO:0061382),1/10,0.034461496392694,0.1345056624303814,0.0462959305230056,0.1875494608760724,-3.697722668925266,12.45360685959806,numb
GO_Biological_Process_2018,respiratory chain complex III assembly (GO:0017062),1/6,0.0208196851054437,0.1345056624303814,0.0297069791148805,0.1875494608760724,-3.1700634740439533,12.274030361853765,ox
GO_Biological_Process_2018,negative regulation of retinal cell programmed cell death (GO:0046671),1/9,0.0310687101240235,0.1345056624303814,0.0421746877216196,0.1875494608760724,-3.528840204418181,12.250559579664952,ninaE
GO_Biological_Process_2018,mitochondrial respiratory chain complex III biogenesis (GO:0097033),1/6,0.0208196851054437,0.1345056624303814,0.0297069791148805,0.1875494608760724,-3.159026163181314,12.231295479807876,ox
GO_Biological_Process_2018,"primary sex determination, germ-line (GO:0007542)",1/7,0.0242478446556644,0.1345056624303814,0.0338802824299768,0.1875494608760724,-3.2221783933342745,11.984659073415504,Sxl
GO_Biological_Process_2018,regulation of microtubule-based process (GO:0032886),1/10,0.034461496392694,0.1345056624303814,0.0462959305230056,0.1875494608760724,-3.452248333229041,11.62687074534796,Pat1
GO_Biological_Process_2018,syncytial nuclear migration (GO:0035190),1/8,0.0276641729154105,0.1345056624303814,0.0380361617813779,0.1875494608760724,-3.2104710579563625,11.5179408649859,Rok
GO_Biological_Process_2018,negative regulation of RNA splicing (GO:0033119),1/9,0.0310687101240235,0.1345056624303814,0.0421746877216196,0.1875494608760724,-3.313891258573769,11.50435269153319,Sxl
GO_Biological_Process_2018,female somatic sex determination (GO:0019101),1/7,0.0242478446556644,0.1345056624303814,0.0338802824299768,0.1875494608760724,-3.086282707694493,11.479204916901375,Sxl
