names,scores,logfoldchanges,pvals,pvals_adj,significant
fend,9.456846,0.4205109,3.173702603068231e-21,1.2753043487558579e-19,False
app,9.452364,0.5416143,3.312636664161598e-21,1.327074566069616e-19,False
RSG7,9.435492,0.41762134,3.891669021230277e-21,1.5543018522482017e-19,False
Rgk1,9.413714,0.59609556,4.789057189710941e-21,1.8954280564096917e-19,False
ed,9.4047575,0.5285,5.21500867470239e-21,2.0578142338014835e-19,False
sbb,9.397012,0.34833667,5.613486943588921e-21,2.2084197137352824e-19,False
Gdap2,9.34728,0.39765128,8.993087743452124e-21,3.5169396711000265e-19,False
Klp98A,9.344516,0.5595881,9.23111224296427e-21,3.5993120140222703e-19,False
mspo,9.326176,0.4706464,1.0975962417093476e-20,4.2543995917583565e-19,False
Atg13,9.268702,0.9575054,1.884264879405892e-20,7.282129563351006e-19,False
Cngl,9.245565,0.38183153,2.3399965184222696e-20,9.01687807978552e-19,False
brp,9.243338,0.34868068,2.3892660058183388e-20,9.17981149603888e-19,False
tei,9.241779,0.41667056,2.4243092142038588e-20,9.287295357037523e-19,False
jigr1,9.227834,0.548266,2.761603318773448e-20,1.0548682444384624e-18,False
CG34117,9.219166,0.71014786,2.9941918467898306e-20,1.1403965468643007e-18,False
CG9932,9.218064,0.45918524,3.0251254243571485e-20,1.1488482102905472e-18,False
Aps,9.20558,0.39964694,3.398317232260909e-20,1.2831577135605845e-18,False
Asap,9.188399,0.6761596,3.9873173551217516e-20,1.4969528584657091e-18,False
clu,9.176826,0.6586196,4.439881097550061e-20,1.662109333954638e-18,False
bi,9.136862,0.6596982,6.429100463817695e-20,2.3999539799592187e-18,False
trn,9.127778,0.6014728,6.991945287056853e-20,2.602667452462523e-18,False
Reph,9.125418,0.39295053,7.146000141923846e-20,2.6524983577649532e-18,False
Rga,9.107749,0.5249705,8.410865570973277e-20,3.113204890213771e-18,False
Ehbp1,9.064399,0.5575854,1.2529373088029033e-19,4.611651607190518e-18,False
CG12084,9.056181,0.60303295,1.3509766784373778e-19,4.958612724767358e-18,False
CHES-1-like,9.051092,0.42961237,1.4154486656339886e-19,5.180778681456995e-18,False
Pde6,9.035897,0.39295584,1.626625434992933e-19,5.937182837724206e-18,False
rdgB,9.023026,0.38394967,1.8296394838475796e-19,6.659684991068475e-18,False
InR,9.01948,0.566206,1.8898469547491443e-19,6.8598312114375015e-18,False
side-VI,9.011074,0.3914879,2.0404800225198035e-19,7.38620041209648e-18,False
cyri,9.004492,0.5342892,2.1666771349550439e-19,7.821466360799251e-18,False
dpr13,8.97522,0.4252158,2.827861374608747e-19,1.0152485918677306e-17,False
MYPT-75D,8.973207,0.46198538,2.880037222488807e-19,1.0311631908311422e-17,False
CG2865,8.934134,0.43756193,4.1038154226029585e-19,1.4613586626830047e-17,False
CG45002,8.91679,0.4366038,4.799983427741868e-19,1.7046427632575175e-17,False
Msp300,8.905044,0.37520275,5.336511224970942e-19,1.890074326040921e-17,False
roh,8.883933,0.39570403,6.453723229681386e-19,2.2735100063810566e-17,False
Rgl,8.866749,0.6236118,7.5312666115640485e-19,2.646011852298171e-17,False
FBXO11,8.865362,0.5000492,7.625573826591726e-19,2.672001068837741e-17,False
Rac1,8.835045,0.45472378,1.0005793528753568e-18,3.496705504463348e-17,False
inaE,8.821009,0.37266603,1.1343352871226528e-18,3.9536248468943387e-17,False
Pgant9,8.816566,0.46185294,1.180227670605413e-18,4.102696188295007e-17,False
Rala,8.786903,0.6369759,1.5373880772055908e-18,5.319284587708029e-17,False
Rab8,8.779477,0.69305897,1.6423671498951058e-18,5.664226863417766e-17,False
E2f1,8.722572,0.4782195,2.7195259903262184e-18,9.31038185358983e-17,False
UBL3,8.722517,0.40069324,2.7208421855239684e-18,9.31038185358983e-17,False
Dbp80,8.719275,0.4190991,2.799875064750858e-18,9.555937233980851e-17,False
alpha-Spec,8.7183,0.37772277,2.8241007002660033e-18,9.613648497796705e-17,False
Rad23,8.715229,0.46015492,2.9017064387527273e-18,9.852305582741818e-17,False
CG2269,8.709511,0.38582048,3.0518861074802867e-18,1.0335511199044063e-16,False
alt,8.69302,0.40501484,3.52930569148156e-18,1.1921613569683214e-16,False
qm,8.674873,0.58856267,4.140096347148267e-18,1.3948940000391853e-16,False
Drak,8.647816,0.48596975,5.249467582110343e-18,1.7641433255480794e-16,False
Ptp10D,8.635885,0.49723628,5.827378063964305e-18,1.9533609122574228e-16,False
CG18508,8.6318445,0.8695282,6.0370362872506336e-18,2.0184899952792194e-16,False
bin3,8.611732,0.41265258,7.196502400470666e-18,2.400051815791486e-16,False
CG4629,8.581791,0.6153787,9.340709299124392e-18,3.091610080365101e-16,False
jvl,8.580249,0.4054049,9.46679489753086e-18,3.1254694711948617e-16,False
CG1695,8.573351,0.3730562,1.005162197385224e-17,3.310233401915249e-16,False
CG31635,8.495801,0.3761596,1.96571814060548e-17,6.425257802874629e-16,False
CG8369,8.475696,0.5331764,2.3367923153426808e-17,7.619218616278617e-16,False
Octbeta2R,8.463915,0.38946542,2.5854895580232258e-17,8.409240790204255e-16,False
Rgk3,8.455143,0.6363946,2.787458722421122e-17,9.043754966077419e-16,False
CG12991,8.435893,0.4224089,3.286841826964795e-17,1.0637709755250593e-15,False
beta-Spec,8.421473,0.36066237,3.71781082287347e-17,1.2002956808982161e-15,False
Actbeta,8.394629,0.41106188,4.6737061527613787e-17,1.5052083050805028e-15,False
Dyb,8.3859625,0.41929087,5.0312363566277226e-17,1.6163923160412783e-15,False
CG9705,8.382279,0.804518,5.1912513220509626e-17,1.6637327407743818e-15,False
AGO2,8.380744,0.6068993,5.2594217745821224e-17,1.681479370267861e-15,False
C3G,8.365001,0.48758322,6.011451351367276e-17,1.9172444358486897e-15,False
schlank,8.359267,0.44373232,6.310912542219224e-17,2.0078787119796757e-15,False
ben,8.31892,0.3594334,8.876847185357811e-17,2.8174341066570443e-15,False
