names,scores,logfoldchanges,pvals,pvals_adj,significant
Fas2,17.150133,0.9542462,6.270903176546027e-66,7.292005994673877e-64,False
ND-MWFE,16.70829,0.7353934,1.1405921969963296e-62,1.3032505624810236e-60,False
hrg,16.677492,0.83320266,1.9107387260928407e-62,2.1644057638672349e-60,False
ari-1,16.571611,0.77039087,1.1178826248537552e-61,1.2554681786819096e-59,False
gro,16.492126,0.80145794,4.179777113723396e-61,4.615316913808859e-59,False
CG42594,16.397734,0.97952217,1.9850403265100938e-60,2.155655362838234e-58,False
Cip4,16.394848,0.7915642,2.0815839094242752e-60,2.2419682434290965e-58,False
nAChRalpha6,16.339024,0.6148963,5.208006414707312e-60,5.563675145467812e-58,False
CG17931,16.322367,1.2400216,6.843036069849544e-60,7.251410803050242e-58,True
CG10804,16.280376,0.7949959,1.3602938959897884e-59,1.4299409434644658e-57,False
CG34250,16.27925,1.1430715,1.385598326058601e-59,1.4449811114611125e-57,True
HDAC4,16.26588,0.71044177,1.7236944090809815e-59,1.7834129555373304e-57,False
cdi,16.078194,0.7203089,3.627992446061545e-58,3.6954899799417594e-56,False
Dmtn,16.010199,0.92646253,1.084631159459036e-57,1.0879430103276131e-55,False
Pacs,15.982562,0.65465814,1.6905338716302318e-57,1.682849626759185e-55,False
Pat1,15.977034,1.0355014,1.8473098110333032e-57,1.825086535111098e-55,True
Mic10b,15.969249,0.6969599,2.0929052092332822e-57,2.05229660069592e-55,False
sty,15.808698,0.7478194,2.710110525600486e-56,2.618445022528705e-54,False
Pits,15.781574,0.5690734,4.166644018644975e-56,3.967369739492389e-54,False
Ten-a,15.755233,0.5190254,6.322578172254644e-56,5.976883250606189e-54,False
Wdr62,15.627956,0.6606092,4.696227098116885e-55,4.376483976542969e-53,False
shi,15.579604,0.45473847,1.0017255230150566e-54,9.269488290435102e-53,False
Drep2,15.540936,0.6680242,1.8328526434062547e-54,1.6841736877173555e-52,False
CG32982,15.228652,1.0447253,2.282491275510453e-52,2.0542421479594077e-50,True
Pde4,15.215504,0.5463312,2.7906352121299383e-52,2.4944861692100264e-50,False
Dp,15.167995,0.9029832,5.7609612231496656e-52,5.114799356228825e-50,False
swm,15.124715,0.8768158,1.1128200459784904e-51,9.748303602771576e-50,False
CG44774,15.116253,0.70898396,1.2654179961180422e-51,1.1011650641715942e-49,False
ND-B12,15.114168,0.621562,1.3061057176792644e-51,1.1290940217306274e-49,False
