group,names,scores,logfoldchanges,pvals,pvals_adj
8,slgA,54.572533,1.2662876,0.0,0.0
8,Hasp,53.137356,1.0898093,0.0,0.0
8,hth,50.982002,1.4435923,0.0,0.0
8,CG9674,46.13925,1.2629782,0.0,0.0
8,VGAT,44.198784,2.133108,0.0,0.0
8,IscU,43.078835,0.9026387,0.0,0.0
9,nAChRalpha6,18.043709,3.9776833,8.840528318826511e-73,1.1617338263769917e-68
9,VGlut1,17.139545,5.1145673,7.523556197156334e-66,4.943352599341569e-62
9,Nplp1,16.61185,4.9536786,5.720073582933548e-62,2.5055828984443255e-58
9,elff,16.145857,3.7509143,1.2144984415031761e-58,3.989931004948309e-55
9,CG15312,15.966137,4.1753697,2.1999623863629995e-57,5.781941143839235e-54
9,CG5890,15.797336,4.0734897,3.2454591732213295e-56,7.108096499216915e-53
9,ct,15.669937,3.7051659,2.4282122115272433e-55,4.558448095954215e-52
9,Lmx1a,15.601973,6.464249,7.057951396788231e-55,1.1593567413149268e-51
9,Tk,15.398718,5.2823353,1.6694614759608818e-53,2.437599250622439e-50
9,Ccn,14.84788,4.3068185,7.180279481248773e-50,9.435605266309013e-47
10,CG14989,55.581394,5.4803114,0.0,0.0
10,Octbeta1R,46.82667,4.143483,0.0,0.0
10,Bx,44.42236,3.9548411,0.0,0.0
10,cpx,37.073734,1.2644802,7.447188896143768e-301,1.631058488070421e-297
10,Ggamma30A,35.26333,1.4824558,2.1438367341532563e-272,3.130239835945327e-269
10,Gad1,34.72098,3.1853874,3.8008733777759107e-264,4.994727705735325e-261
10,toy,32.646954,2.8316202,8.851812979773348e-234,8.308691026228683e-231
10,CG42540,32.411587,1.6360494,1.8848327009572809e-230,1.6512391015519753e-227
10,Nos,31.428925,4.116915,8.147895880567846e-217,5.948416653696781e-214
10,CG13698,31.39383,4.421674,2.456407197097212e-216,1.6989287882660244e-213
11,Jhbp2,78.8496,7.5536284,0.0,0.0
11,Eaat1,78.599594,8.450091,0.0,0.0
11,CG15522,76.94113,7.251468,0.0,0.0
11,witty,75.70506,7.3818665,0.0,0.0
11,Octbeta2R,74.87537,4.278704,0.0,0.0
11,Rbp6,73.383255,2.7674766,0.0,0.0
11,AMPdeam,68.98077,4.6700273,0.0,0.0
11,dths,68.2416,3.2238395,0.0,0.0
11,CG43795,68.09032,4.6321397,0.0,0.0
11,CG9932,67.35831,3.954784,0.0,0.0
12,mub,96.15889,3.3454444,0.0,0.0
12,jdp,95.99477,4.0393977,0.0,0.0
12,Pka-C1,93.87145,3.3338969,0.0,0.0
12,14-3-3zeta,91.47838,1.7839456,0.0,0.0
12,Pka-R2,89.63161,4.02431,0.0,0.0
12,Rgk1,73.68948,4.3112373,0.0,0.0
12,Pkc53E,71.127205,2.7274537,0.0,0.0
12,rsh,69.457405,2.9733064,0.0,0.0
12,Appl,67.403076,1.7303133,0.0,0.0
12,Adcy1,66.22474,3.4318442,0.0,0.0
13,CG10527,19.932533,4.631092,2.125264269080799e-88,2.792809775999078e-84
13,CG1648,19.584513,2.9463933,2.0960559822081022e-85,1.3772135831098334e-81
13,rhea,19.549026,2.9680524,4.2046699405041217e-85,1.841785589605489e-81
13,AnxB10,18.177406,2.4038875,7.793286844140477e-74,2.5602895604712502e-70
13,CG31345,18.122597,3.4631214,2.1138225332571984e-73,5.555548381906569e-70
13,ReepB,17.953325,2.0830073,4.520085871991005e-72,9.899741407305634e-69
13,mRpS9,17.83018,2.098088,4.120929071439114e-71,7.736161275397344e-68
13,CG13506,17.818785,2.8104978,5.052247355540335e-71,8.298947812394443e-68
13,mbl,17.44122,2.7001793,4.014224776945974e-68,5.861214199316339e-65
13,lncRNA:CR44922,17.217796,2.0672731,1.952839452380219e-66,2.566226324372846e-63
14,SoxN,70.39306,4.5331354,0.0,0.0
14,CG42750,69.1075,4.0002975,0.0,0.0
14,Ten-a,56.66366,1.9251598,0.0,0.0
14,acj6,56.636402,4.554119,0.0,0.0
14,CNMaR,51.01533,5.0113444,0.0,0.0
14,Lim1,49.67804,3.8977423,0.0,0.0
14,CG43902,48.08148,3.1293921,0.0,0.0
14,tei,44.744865,2.3437011,0.0,0.0
14,Fas3,43.2277,3.1241262,0.0,0.0
14,CG31221,42.505466,2.1437018,0.0,0.0
15,Arr2,36.5569,9.818216,1.3853125178581386e-292,1.82043917971738e-288
15,Arr1,35.964714,10.141852,2.9805279005515925e-283,1.958355857057424e-279
15,ninaE,32.27891,8.691821,1.3829056016758357e-228,6.057587503874052e-225
15,trpl,32.119747,9.266004,2.3371388130461028e-226,7.67808528555971e-223
15,ninaC,30.939955,9.370721,3.468046369045551e-210,9.114719467125518e-207
15,trp,30.513508,9.78682,1.725052416484039e-204,3.778152300836126e-201
15,norpA,30.047623,3.935072,2.3451157463938196e-198,4.402452289051597e-195
15,rtp,28.753326,9.6522665,8.230500366252786e-182,1.3519625664115982e-178
15,inaD,27.093199,8.818397,1.1841643541978958e-161,1.729011530946061e-158
15,inaC,26.750982,9.295779,1.2026980125234212e-157,1.5804654582570278e-154
16,Pdh,35.349007,8.917928,1.0384522136365223e-273,1.364630053939754e-269
16,fabp,32.390533,6.476044,3.730740700227729e-230,2.4512831770846294e-226
16,pkm,30.177998,8.709519,4.6054528687187765e-200,2.0173418715944483e-196
16,se,25.45743,7.6611857,5.841220416565626e-143,1.9189869373522224e-139
16,CG6870,25.226994,8.693247,2.0259569703576106e-140,5.3246201094938725e-137
16,GstE12,24.562634,5.911588,3.1697396050735437e-133,6.9422580250452396e-130
16,lncRNA:CR34335,23.58652,2.1767955,5.300342540989373e-123,9.950257333020192e-120
16,Cpr72Ec,22.05398,8.079406,8.748320778017036e-108,1.4370210417990233e-104
16,CG4842,21.88832,8.598209,3.3564549372389607e-106,4.456497259026438e-103
16,Tsp42Ea,21.887852,7.739616,3.391292336219799e-106,4.456497259026438e-103
17,Imp,88.32782,3.3139303,0.0,0.0
17,lncRNA:Hsromega,68.43856,1.2047126,0.0,0.0
17,Hsp23,62.051704,3.111634,0.0,0.0
17,futsch,61.02402,1.1744869,0.0,0.0
17,jeb,58.096905,1.7114049,0.0,0.0
17,mbl,52.730896,1.588857,0.0,0.0
17,MtnF,51.28637,1.7904028,0.0,0.0
17,IA-2,50.772293,1.0850977,0.0,0.0
17,Dop2R,50.50032,1.4815722,0.0,0.0
17,Hsp27,48.67606,2.8303998,0.0,0.0
18,lncRNA:CR34335,33.484547,2.7778625,8.091287726329116e-246,1.0632761201169092e-241
18,CG13631,27.269987,5.354934,9.630390917586814e-164,4.218432234933611e-160
18,eEF1alpha1,25.11581,2.8732295,3.3417230297677985e-139,7.318930389029773e-136
18,CG15201,22.921848,4.632805,2.813809200984335e-116,1.607663770005876e-113
18,RpS15,22.065187,1.1794376,6.82860185623656e-108,2.894666354606601e-105
18,RpL27A,22.001757,1.3301091,2.77044205517738e-107,1.137699345221436e-104
18,CG42489,21.679903,7.303511,3.175536397508955e-104,1.227344817637211e-101
18,RpLP1,21.500708,1.3432442,1.533338156104905e-102,5.757027631249874e-100
18,CG30197,21.096842,4.6243978,8.503039099181486e-99,3.0199577514147002e-96
18,RpS26,20.896072,1.2261542,5.813636280689697e-97,1.9099248591135827e-94
19,ct,76.01862,3.0849578,0.0,0.0
19,Nckx30C,64.10354,1.7599286,0.0,0.0
19,Rbp6,63.34583,1.5761946,0.0,0.0
19,Pka-C3,61.30963,4.1132817,0.0,0.0
19,Jhbp2,58.028378,3.5658026,0.0,0.0
19,Mmp2,57.159065,2.5259829,0.0,0.0
19,scrt,50.5283,1.1887753,0.0,0.0
19,CG44422,49.69893,2.1104815,0.0,0.0
19,Cbp53E,47.505962,1.7689993,0.0,0.0
19,Bacc,47.228153,0.82214504,0.0,0.0
20,VGlut1,47.82963,5.063558,0.0,0.0
20,cpx,33.155766,1.3561038,4.676993460057523e-241,3.073018552930795e-237
20,RpL23,31.133017,1.4204398,8.611902601719626e-213,2.2633802417839522e-209
20,Cph,29.47904,2.9274793,5.345305841293399e-191,1.1707110676739427e-187
20,CG6044,25.829166,2.3425562,4.1716238491867614e-147,4.56827575018027e-144
20,HisT,25.712944,3.386107,8.376052734559323e-146,8.466900691141852e-143
20,CG42392,25.598598,1.6515136,1.5813409843075302e-144,1.484314419627518e-141
20,Frq1,23.00919,1.5091423,3.771582223314582e-117,3.3041574664384616e-114
20,ort,21.639708,4.6312757,7.598428134176405e-104,5.873584947718361e-101
20,stai,21.255741,1.1740651,2.9171729173491574e-100,2.1296982948269598e-97
21,Vmat,63.00795,8.240331,0.0,0.0
21,ple,45.091225,7.732044,0.0,0.0
21,DAT,43.00066,6.9088564,0.0,0.0
21,bru3,27.302324,1.5171369,3.980479418229242e-164,1.3076870008737618e-160
21,Ddc,26.390408,1.7679355,1.7656129854884874e-153,4.6403840484608426e-150
21,CG42342,26.019583,1.567541,2.973487421669248e-149,6.512433034692599e-146
21,CG2269,24.393982,1.1919172,1.9811198822055835e-131,3.2542370465079463e-128
21,klg,23.847692,1.5852181,1.0700453596330464e-125,1.562385118993096e-122
21,Pcd,23.604364,1.8100452,3.4762904836339856e-123,4.5681933245434204e-120
21,JhI-21,23.57098,5.3867674,7.650877888391623e-123,9.14001693921403e-120
22,CG18598,43.304955,6.22954,0.0,0.0
22,cpx,38.965286,1.536,0.0,0.0
22,dths,38.604362,2.6981537,0.0,0.0
22,Rbp6,38.453705,1.6946995,0.0,0.0
22,jus,35.185314,2.3835852,3.3539670072079465e-271,4.4074480441719626e-268
22,ps,32.498615,1.0910167,1.115473965275465e-231,1.2215369481404072e-228
22,Nckx30C,32.409317,1.5724342,2.028858571712309e-230,2.0508638839131887e-227
22,CG31345,29.906548,3.6673803,1.6175705447980192e-196,1.3285309080744231e-193
22,shep,29.337738,0.94889283,3.425676318923571e-189,2.6480477945279202e-186
22,Abl,28.786844,1.7761673,3.134273155521365e-182,2.2881935298170144e-179
23,CG43795,30.596403,4.339001,1.3665189673572022e-205,1.7957425750040996e-201
23,CG42342,30.145746,3.436951,1.2195497046630528e-199,8.013051334488589e-196
23,hth,27.699274,3.1892056,7.124026410396343e-169,2.3404207764754586e-165
23,CG42674,27.241676,3.5496483,2.085573995927342e-163,5.48130557609624e-160
23,Argk1,27.135124,2.0616148,3.7936213771527643e-162,8.30866308619408e-159
23,Eip63F-1,26.38387,3.8279097,2.0985961514731233e-153,3.939664575215473e-150
23,app,25.34515,3.5317883,1.0164093692585778e-141,1.6695794401783716e-138
23,BicD,24.446611,2.6107614,5.467905942284332e-132,7.983750220839823e-129
23,Frq1,23.978752,2.7059262,4.633521626715062e-127,6.0889107696662626e-124
23,beat-VII,22.026382,2.67915,1.60921047799234e-107,1.7622195742747784e-104
24,acj6,63.30392,4.946408,0.0,0.0
24,ct,56.99042,3.0205445,0.0,0.0
24,sosie,50.460896,5.673053,0.0,0.0
24,Con,49.777916,2.5635996,0.0,0.0
24,rdgA,40.20531,2.2421374,0.0,0.0
24,nAChRalpha6,37.852844,2.0293696,0.0,0.0
24,Tk,37.158455,4.064719,3.2014794387391046e-302,4.6745157004967303e-299
24,CG9896,34.92008,3.4720585,3.686369233041874e-267,4.8442578091403265e-264
24,cpo,34.90924,1.1164622,5.3834480219954395e-267,6.431262768822007e-264
24,beat-Ic,34.77386,2.4225621,6.043135963499373e-265,6.617737474695438e-262
25,Gs2,40.42509,7.196736,0.0,0.0
25,lncRNA:CR34335,35.477688,3.358287,1.0857537885917168e-275,7.133945267941875e-272
25,CG9394,34.78637,7.4397674,3.909931185132095e-265,1.712680190127362e-261
25,CG13631,32.26946,6.0377345,1.8768436399933132e-228,6.165900568288032e-225
25,CAH1,29.494993,5.4960475,3.337759877428032e-191,8.772300509856354e-188
25,CG1552,28.94987,5.646829,2.8169055932817177e-184,6.169492733552509e-181
25,alrm,25.597067,6.8834863,1.6446540256718005e-144,3.087485507336161e-141
25,nrv2,25.392742,3.9364746,3.0331979477703753e-142,4.9824067789563126e-139
25,bbc,24.807173,3.945841,7.501687687314383e-136,1.0953297544333145e-132
25,Chd64,24.595959,4.085239,1.3954611807939686e-133,1.833775537681354e-130
26,lncRNA:CR34335,47.632168,4.606185,0.0,0.0
26,Oda,45.787872,3.8317919,0.0,0.0
26,CG3168,45.078323,8.6314125,0.0,0.0
26,MtnA,44.428947,5.643761,0.0,0.0
26,eEF1alpha1,43.87451,4.4588413,0.0,0.0
26,CG10433,43.623375,7.0197415,0.0,0.0
26,Cys,43.110634,7.7745614,0.0,0.0
26,CG14687,42.876274,7.7913613,0.0,0.0
26,RpS15,42.867783,2.3806486,0.0,0.0
26,SPARC,41.18466,7.595192,0.0,0.0
27,jdp,33.18336,4.210127,1.871084540069953e-241,2.458792194105925e-237
27,14-3-3zeta,32.666695,1.9450693,4.6429646425034215e-234,3.050659918356873e-230
27,Nep1,30.778673,6.2817197,5.056519182177036e-208,2.214923952432948e-204
27,Tomosyn,30.735607,3.0104039,1.904183135641019e-207,6.255717646364657e-204
27,CG14989,29.317518,5.149779,6.202784803944938e-189,1.6302159021728085e-185
27,mub,28.298176,2.5597506,3.639294262407476e-176,7.970660983716107e-173
27,Gad1,26.780462,3.9391801,5.457479750011363e-158,1.0245248770699902e-154
27,Rdl,25.34494,1.7542759,1.0218081065293034e-141,1.678447540987697e-138
27,Ca-Ma2d,25.052227,3.7653015,1.6509993448818508e-138,2.4106424878991557e-135
27,btsz,24.883076,4.186604,1.1345781982579096e-136,1.490949210330719e-133
