names,scores,logfoldchanges,pvals,pvals_adj,significant
ari-1,28.037066,0.76300997,5.743775132266596e-173,6.186799099435684e-171,False
CG10804,27.55787,0.78849846,3.561477266369696e-167,3.774304254626143e-165,False
Ten-a,27.489647,0.5458221,2.3346351500223258e-166,2.4543552405154708e-164,False
HDAC4,27.40965,0.70484555,2.104474246136528e-165,2.1948330213079458e-163,False
Drep2,27.16409,0.6888537,1.726101047379173e-162,1.7860388868984023e-160,False
Tsp66E,27.016836,0.73924595,9.37311588642476e-161,9.622821551836545e-159,False
nkd,26.962881,0.84501106,4.0289847792697315e-160,4.072683768029503e-158,False
Pde4,26.743372,0.58388287,1.474618971503802e-157,1.4792341911856078e-155,False
sty,26.723785,0.7507912,2.4911735932517876e-157,2.4800388021910407e-155,False
Dmtn,26.492373,0.9065795,1.1866456878198932e-154,1.1550897024919418e-152,False
Pacs,26.439186,0.6460278,4.8586480394123314e-154,4.6946686680821645e-152,False
Mic10b,26.354406,0.6738366,4.568942722986472e-153,4.382516519909871e-151,False
CG32982,26.19851,1.0659398,2.7634465915780916e-151,2.631482004342587e-149,True
Pits,26.033745,0.5637398,2.0556561048441213e-149,1.943408408183928e-147,False
ND-B12,25.994741,0.6353782,5.678715221825849e-149,5.330285480715249e-147,False
CG32486,25.908566,0.61739653,5.33272281793923e-148,4.9700220248609525e-146,False
sdt,25.832504,0.6062153,3.8264139434077286e-147,3.5410496922761244e-145,False
Dp,25.599623,0.89193976,1.5403541960390843e-144,1.3959858269068696e-142,False
swm,25.546957,0.86129814,5.93526980069355e-144,5.305808193939724e-142,False
Wdr62,25.2515,0.62355614,1.0904275557476694e-140,9.616985577234982e-139,False
Socs36E,25.223604,0.788035,2.2070784580726933e-140,1.933547867835551e-138,False
CG5758,25.105593,0.74744457,4.321011411062348e-139,3.76042456640863e-137,False
tipE,25.097765,0.7858343,5.2606866360534946e-139,4.548071255551248e-137,False
Snap25,24.969,0.40019765,1.3280065444692118e-137,1.1332035065499943e-135,False
luna,24.855177,0.75344574,2.2732587658808484e-136,1.9272834478993698e-134,False
Tmep,24.818943,0.7063466,5.5990226559413366e-136,4.716458764213148e-134,False
CG7646,24.81281,0.55972344,6.52099027624341e-136,5.458110396185646e-134,False
CASK,24.797615,0.55529207,9.512258968757646e-136,7.911430070154698e-134,False
CG8671,24.673634,0.64345163,2.0526536424834232e-134,1.6858700947421664e-132,False
SPR,24.648605,0.9236795,3.80910379493103e-134,3.1090331036763145e-132,False
CG42524,24.626074,1.0434368,6.642094616876836e-134,5.387886750640648e-132,True
emb,24.497272,0.7646173,1.5793905986496243e-132,1.273298886923602e-130,False
CG44774,24.46154,0.66754735,3.793108995396132e-132,3.039344226128083e-130,False
Marf,24.430357,0.6873352,8.139751203779977e-132,6.4826951859922835e-130,False
beat-Ic,24.428112,0.73150396,8.599694148599606e-132,6.807745831731773e-130,False
Gbeta13F,24.16499,0.4808643,5.1951426192437227e-129,4.039607642572885e-127,False
Eip78C,24.159645,1.0731851,5.912443828612905e-129,4.570319079517776e-127,True
Toll-6,24.098372,0.68270063,2.5999568626842805e-128,1.998013633481528e-126,False
tou,24.086252,0.6406045,3.483300460940906e-128,2.6612820556525838e-126,False
Ac3,24.05988,0.6300003,6.579242522603842e-128,4.997562195926999e-126,False
Pkc53E,23.964209,0.6050615,6.570272959281414e-127,4.962066491834314e-125,False
shi,23.944351,0.4235279,1.05810950540269e-126,7.945495434569571e-125,False
CG44242,23.921686,0.6196975,1.8218632544748964e-126,1.3526048037883963e-124,False
CG31221,23.902077,0.62973607,2.9142396052131746e-126,2.1514619467475466e-124,False
UQCR-11,23.894005,0.57580835,3.535347979151775e-126,2.5954194298342725e-124,False
mbl,23.84593,0.6391699,1.1160273664116302e-125,8.147619790008463e-124,False
CG33303,23.793858,0.9211897,3.8663523034843604e-125,2.8070572165794463e-123,False
RhoGAP71E,23.538809,0.61909586,1.634576757781011e-122,1.1610796310270413e-120,False
elff,23.408213,0.673669,3.5250090036680724e-121,2.4771199634867452e-119,False
hrm,23.361618,0.7380826,1.0501219327834936e-120,7.340240595057387e-119,False
SKIP,23.195602,0.6787567,5.04308017537849e-119,3.5064082849020495e-117,False
CG13739,23.027555,0.70859766,2.469267054975818e-117,1.7078230720756431e-115,False
Psi,22.964142,0.65503716,1.0643360231178587e-116,7.3227432878491e-115,False
dpr10,22.961613,0.825075,1.128127594538351e-116,7.721210791577329e-115,False
Bsg,22.938562,0.50670403,1.9165692812949654e-116,1.3049552811138415e-114,False
GluRIB,22.778036,0.61340296,7.570757754744692e-115,5.101914238723077e-113,False
Calx,22.6766,0.7527351,7.625996669959766e-114,5.112919502037821e-112,False
RASSF8,22.644894,0.67483985,1.5665320058922598e-113,1.0449643192604156e-111,False
Rbfox1,22.428398,0.4173478,2.0799006926236772e-111,1.3804027778670576e-109,False
Frq1,22.371397,0.5373963,7.475817066273388e-111,4.936668948135607e-109,False
CG6770,21.774225,0.5228849,4.072976411300858e-105,2.6366001488130333e-103,False
CG14478,21.682692,0.5920542,2.988805577638057e-104,1.91589727296301e-102,False
CG13751,21.66364,1.0999205,4.5207067472452345e-104,2.8838158915315357e-102,True
CG42337,21.6575,0.6496501,5.1652672043467686e-104,3.279071320401975e-102,False
ssp3,21.565968,0.770349,3.7498872068599945e-103,2.3690994127570765e-101,False
da,21.553017,0.6067912,4.960740411312407e-103,3.119095203112744e-101,False
MtnF,21.497225,0.8445521,1.652810167800218e-102,1.034265638812508e-100,False
futsch,21.244589,0.39190394,3.69919909066451e-100,2.3038471682664606e-98,False
CG3744,21.14946,0.8124942,2.791206579400103e-99,1.7301530971649413e-97,False
mtgo,21.075998,0.5426871,1.3209046009510275e-98,8.111218393036192e-97,False
apolpp,21.030575,1.1607667,3.4444694520588766e-98,2.1052917706746833e-96,True
mbt,20.97264,0.62924147,1.1661117709977866e-97,7.094386473463849e-96,False
CG1677,20.927418,0.5440159,3.013840293990369e-97,1.825109460982831e-95,False
mir-9381,20.881655,1.062353,7.862153792776713e-97,4.7392918803155403e-95,True
Rbp6,20.792358,0.38877583,5.075357520736613e-96,3.045446263926933e-94,False
CG6700,20.678894,0.51238316,5.3657832863110515e-95,3.2050799166097056e-93,False
mamo,20.656992,0.5564411,8.446519295955881e-95,5.022430319826074e-93,False
Met,20.488735,0.67475986,2.713539592483306e-93,1.6062443146316722e-91,False
CG44422,20.456665,0.5893247,5.240267159100226e-93,3.087997790929869e-91,False
CG4080,20.430311,0.71689,8.992721877560606e-93,5.275596347902853e-91,False
ND-MLRQ,20.41164,0.5063641,1.3178615050155705e-92,7.696896905515383e-91,False
CtBP,20.325394,0.49392307,7.667271273544379e-92,4.458212911754277e-90,False
Tm1,20.291086,0.5301285,1.5414936553372048e-91,8.923686398584233e-90,False
CG42238,20.255175,0.6105529,3.1981039922825573e-91,1.843258094850223e-89,False
ct,20.12314,0.56645566,4.628075369444845e-90,2.655787704361341e-88,False
lbk,20.061022,0.84336054,1.617294629869266e-89,9.20037607407447e-88,False
alpha-Cat,19.994366,0.5574578,6.1657932816158404e-89,3.4924435135221444e-87,False
wdb,19.950468,0.4631136,1.484892742494109e-88,8.37466760906227e-87,False
RpL38,19.948545,0.4303435,1.5431504401658587e-88,8.66604270693143e-87,False
wry,19.898798,0.5160653,4.168014907728537e-88,2.330718463934498e-86,False
Yp1,19.81854,7.6621323,2.0599624561546652e-87,1.1470324845901886e-85,True
Mnt,19.737366,0.5190889,1.0301209394058181e-86,5.687739186862125e-85,False
Ptp99A,19.670485,0.49062878,3.8607277106673596e-86,2.122754093969865e-84,False
Tlk,19.578997,0.49189797,2.33579900955597e-85,1.2789472826906252e-83,False
Eph,19.506687,0.5122856,9.632425468546402e-85,5.209041279101574e-83,False
fne,19.483767,0.3486629,1.5076902127278412e-84,8.119900444859247e-83,False
CG6966,19.463398,0.60471386,2.244039682483641e-84,1.2036296109190827e-82,False
CG45049,19.413471,0.47776836,5.93765984366427e-84,3.1718206506338285e-82,False
CG33181,19.36988,0.5031559,1.3858057940837368e-83,7.372823457511897e-82,False
dlg1,19.306297,0.4805349,4.754699665854408e-83,2.5194156576206764e-81,False
